mhd-term-id,mhd-term,mtbls-st4c,mw-term,gnps-term,mhd-instance-of,mtbls-instance-of,mw-instance-of,gnps-instance-of,mtbls-term-id,mtbls-term,comment
MS_1000856,LTQ Velos/ETD,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000931,QTRAP 5500,AB SCIEX QTRAP 5500,ABI Sciex 5500 QTrap,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000598,AB SCIEX QTRAP 5500,
MS_1000932,TripleTOF 5600,AB SCIEX TripleTOF 5600,ABI Sciex 5600 TripleTOF,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000601,AB SCIEX TripleTOF 5600,
MS_1000935,6470A Triple Quadrupole LC/MS,,Agilent 6470A,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000936,6470B Triple Quadrupole LC/MS,Agilent 6470B Triple Quadrupole,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002095,Agilent 6470B Triple Quadrupole,
MS_1000937,6495C Triple Quadrupole LC/MS,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1001482,5800 TOF/TOF,AB SCIEX TOF/TOF 5800,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000550,AB SCIEX TOF/TOF 5800,
MS_1001510,TSQ Vantage,Thermo Scientific TSQ Vantage,Thermo TSQ Vantage,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000665,Thermo Scientific TSQ Vantage,
MS_1001537,BioTOF,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1001538,BioTOF III,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1001539,UltroTOF-Q,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1001540,micrOTOF II,Bruker micrOTOF II,Bruker MicrOTOF II,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1001541,maXis,Bruker maXis UHR-ToF,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000629,Bruker maXis UHR-ToF,
